timestamp_utc,open,high,low,close,volume
2025-06-11 04:59:59.999000+00:00,109722.95,109735.24,109552.68,109562.75,173.09706
2025-06-11 05:59:59.999000+00:00,109562.75,109650.59,109430.38,109468.03,198.18742
2025-06-11 06:59:59.999000+00:00,109468.04,109679.24,109373.67,109595.01,322.84155
2025-06-11 07:59:59.999000+00:00,109595.02,109745.29,109446.73,109446.74,306.34832
2025-06-11 08:59:59.999000+00:00,109446.74,109675.69,109446.73,109576.02,413.74462
2025-06-11 09:59:59.999000+00:00,109576.03,109603.57,109233.62,109269.83,579.74506
2025-06-11 10:59:59.999000+00:00,109269.82,109468.67,109200.0,109373.12,390.96093
2025-06-11 11:59:59.999000+00:00,109373.13,109391.75,109193.89,109252.09,249.30459
2025-06-11 12:59:59.999000+00:00,109252.1,109927.04,109008.82,109714.87,1297.31517
2025-06-11 13:59:59.999000+00:00,109714.87,109900.0,109301.42,109684.0,948.34709
2025-06-11 14:59:59.999000+00:00,109684.0,110392.01,109650.94,109866.69,1345.14543
2025-06-11 15:59:59.999000+00:00,109866.69,110042.9,109660.72,109735.7,808.45996
2025-06-11 16:59:59.999000+00:00,109735.7,109815.84,109341.79,109439.38,689.45368
2025-06-11 17:59:59.999000+00:00,109439.38,109768.85,108964.16,108984.72,724.99224
2025-06-11 18:59:59.999000+00:00,108984.72,109072.91,108412.01,108807.25,963.32708
2025-06-11 19:59:59.999000+00:00,108807.25,108960.0,108576.0,108742.37,459.75917
2025-06-11 20:59:59.999000+00:00,108742.37,109001.5,108480.0,108906.44,360.27215
2025-06-11 21:59:59.999000+00:00,108906.45,109219.51,108367.94,108508.18,462.92455
2025-06-11 22:59:59.999000+00:00,108508.17,108633.38,108064.0,108443.38,692.16947
2025-06-11 23:59:59.999000+00:00,108443.38,108691.87,108324.0,108645.12,335.90773
2025-06-12 00:59:59.999000+00:00,108645.13,108813.55,108326.55,108705.99,394.62489
2025-06-12 01:59:59.999000+00:00,108706.0,108706.0,108258.49,108515.99,531.45564
2025-06-12 02:59:59.999000+00:00,108515.99,108759.0,108390.34,108400.52,897.03762
2025-06-12 03:59:59.999000+00:00,108400.52,108448.03,107730.0,107860.05,1933.71635
2025-06-12 04:59:59.999000+00:00,107860.04,107917.41,107320.0,107765.12,841.46439
2025-06-12 05:59:59.999000+00:00,107765.13,107922.43,107593.67,107746.91,355.94523
2025-06-12 06:59:59.999000+00:00,107746.91,107993.58,107640.33,107909.02,438.0718
2025-06-12 07:59:59.999000+00:00,107909.02,107961.01,107438.65,107633.53,702.19948
2025-06-12 08:59:59.999000+00:00,107633.53,107835.83,107440.13,107731.67,406.91931
2025-06-12 09:59:59.999000+00:00,107731.67,107771.55,107488.95,107507.35,309.4496
2025-06-12 10:59:59.999000+00:00,107507.35,107518.85,107200.0,107323.16,521.81989
2025-06-12 11:59:59.999000+00:00,107323.16,107349.31,106874.47,106900.95,628.23956
2025-06-12 12:59:59.999000+00:00,106900.95,107431.82,106870.0,106988.54,763.31238
2025-06-12 13:59:59.999000+00:00,106988.55,107198.75,106600.0,107070.8,920.69916
2025-06-12 14:59:59.999000+00:00,107070.8,107721.17,107070.8,107612.69,862.27021
2025-06-12 15:59:59.999000+00:00,107612.7,107822.5,106890.88,107020.95,655.00365
2025-06-12 16:59:59.999000+00:00,107020.96,107858.32,106985.38,107744.71,562.58066
2025-06-12 17:59:59.999000+00:00,107744.7,108450.16,107702.42,108287.4,769.24972
2025-06-12 18:59:59.999000+00:00,108287.4,108419.21,107229.47,107561.35,522.24144
2025-06-12 19:59:59.999000+00:00,107561.36,107879.92,106680.0,106788.8,704.93602
2025-06-12 20:59:59.999000+00:00,106789.8,106960.77,105772.73,105973.62,2315.98411
2025-06-12 21:59:59.999000+00:00,105973.61,106430.39,105860.9,105894.31,679.88503
2025-06-12 22:59:59.999000+00:00,105894.32,106225.4,105726.65,105890.7,576.44703
2025-06-12 23:59:59.999000+00:00,105890.69,106140.0,105671.72,105671.73,485.11901
2025-06-13 00:59:59.999000+00:00,105671.74,105694.0,103213.87,103797.81,5330.14891
2025-06-13 01:59:59.999000+00:00,103797.81,103938.59,102664.31,103773.65,3550.75225
2025-06-13 02:59:59.999000+00:00,103773.65,103976.64,103065.58,103641.21,1362.18578
2025-06-13 03:59:59.999000+00:00,103641.2,104590.0,103605.12,104277.22,1292.28749
2025-06-13 04:59:59.999000+00:00,104277.22,104506.36,103782.75,104404.52,700.3376
2025-06-13 05:59:59.999000+00:00,104404.52,104450.0,104000.0,104002.25,650.15589
2025-06-13 06:59:59.999000+00:00,104002.26,104722.5,103825.11,104704.26,812.26154
2025-06-13 07:59:59.999000+00:00,104704.27,104970.12,104376.43,104895.0,1192.2614
2025-06-13 08:59:59.999000+00:00,104895.01,105434.34,104690.85,104739.45,1404.55532
2025-06-13 09:59:59.999000+00:00,104739.44,104916.0,104500.0,104830.36,688.51868
2025-06-13 10:59:59.999000+00:00,104830.36,104925.1,104425.79,104874.01,531.07719
2025-06-13 11:59:59.999000+00:00,104874.0,105045.79,104640.0,105039.48,522.51084
2025-06-13 12:59:59.999000+00:00,105039.48,105290.14,104822.36,104852.29,768.82163
2025-06-13 13:59:59.999000+00:00,104852.28,105300.0,104674.14,104732.44,853.87525
2025-06-13 14:59:59.999000+00:00,104732.82,105011.76,104118.0,104970.74,1137.70532
2025-06-13 15:59:59.999000+00:00,104970.74,105747.47,104860.0,105436.87,1140.75299
2025-06-13 16:59:59.999000+00:00,105436.87,105981.0,105308.83,105783.66,1087.38893
2025-06-13 17:59:59.999000+00:00,105783.65,105783.65,104867.65,105390.94,775.10222
2025-06-13 18:59:59.999000+00:00,105390.94,105480.0,104668.73,105193.04,631.03278
2025-06-13 19:59:59.999000+00:00,105193.04,105436.9,104900.0,105110.0,457.01476
2025-06-13 20:59:59.999000+00:00,105110.01,105508.34,105020.87,105424.0,385.01118
2025-06-13 21:59:59.999000+00:00,105424.0,105788.79,105326.41,105612.59,270.63672
2025-06-13 22:59:59.999000+00:00,105612.58,105840.0,105542.0,105751.28,221.74081
2025-06-13 23:59:59.999000+00:00,105751.29,106179.53,105751.28,106066.59,414.68186
2025-06-14 00:59:59.999000+00:00,106066.59,106252.0,105703.61,105826.32,1271.508
2025-06-14 01:59:59.999000+00:00,105826.32,105826.33,105440.0,105470.35,1198.12686
2025-06-14 02:59:59.999000+00:00,105470.35,105611.67,105312.88,105374.17,288.65282
2025-06-14 03:59:59.999000+00:00,105374.18,105440.0,105197.96,105228.82,259.19985
2025-06-14 04:59:59.999000+00:00,105228.83,105397.06,105212.09,105371.07,216.26058
2025-06-14 05:59:59.999000+00:00,105371.08,105397.06,105233.95,105288.3,205.15438
2025-06-14 06:59:59.999000+00:00,105288.3,105321.82,105105.13,105105.13,221.23119
2025-06-14 07:59:59.999000+00:00,105105.14,105144.57,104792.98,105076.59,360.03462
2025-06-14 08:59:59.999000+00:00,105076.59,105132.36,104871.06,105095.03,215.34556
2025-06-14 09:59:59.999000+00:00,105095.04,105110.15,104850.54,104862.26,253.37215
2025-06-14 10:59:59.999000+00:00,104862.26,105117.07,104836.06,105011.92,145.57424
2025-06-14 11:59:59.999000+00:00,105011.92,105096.0,104948.38,105082.01,172.47595
2025-06-14 12:59:59.999000+00:00,105082.01,105100.0,104745.1,105053.63,267.44126
2025-06-14 13:59:59.999000+00:00,105053.64,105131.25,104902.28,105017.41,263.02313
2025-06-14 14:59:59.999000+00:00,105017.41,105060.42,104841.96,104913.01,157.82263
