message_id,timestamp_utc,text
393790,2025-09-19T00:33:25+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on DOTUSDT @ $4.69: Buy $94,395"
393789,2025-09-19T00:28:13+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,617: Buy $86,509"
393788,2025-09-19T00:01:08+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on DOGEUSDT @ $0.28: Buy $58,036"
393787,2025-09-19T00:01:06+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on DAMUSDT @ $0.14: Buy $54,511"
393786,2025-09-18T23:31:34+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on DOGEUSDT @ $0.2800: Buy $52,374"
393785,2025-09-18T23:18:32+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BTCUSDC @ $116,150: Sell $77,356"
393784,2025-09-18T23:07:19+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,556: Sell $140,938"
393783,2025-09-18T23:07:18+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDC @ $4,544: Sell $1,562,791"
393782,2025-09-18T23:06:25+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on SOLUSDT @ $245: Sell $61,248"
393781,2025-09-18T23:05:42+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,557: Sell $51,352"
393780,2025-09-18T23:04:01+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on SOLUSDT @ $245: Sell $87,236"
393779,2025-09-18T23:04:01+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,559: Sell $96,218"
393778,2025-09-18T23:03:51+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on AVAXUSDT @ $35.09: Buy $69,886"
393777,2025-09-18T23:03:51+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on 1000PEPEUSDT @ $0.0112: Sell $56,112"
393776,2025-09-18T23:03:51+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,565: Sell $68,483"
393775,2025-09-18T23:02:47+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on SOLUSDT @ $244: Sell $966,577"
393774,2025-09-18T23:00:52+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BNBUSDT @ $975: Sell $246,237"
393773,2025-09-18T23:00:50+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,564: Sell $70,414"
393772,2025-09-18T23:00:46+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on DOGEUSDT @ $0.2754: Sell $73,482"
393771,2025-09-18T23:00:32+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BNBUSDT @ $976: Sell $65,247"
393770,2025-09-18T23:00:16+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on BTCUSDT @ $116,368.70: Sell $1,163,687"
393769,2025-09-18T23:00:06+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BTCUSDT @ $116,496: Sell $98,905"
393768,2025-09-18T22:53:57+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on DOGEUSDT @ $0.2759: Sell $124,911"
393767,2025-09-18T22:52:17+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on XRPUSDT @ $3.0533: Sell $152,665"
393766,2025-09-18T22:52:17+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on DOGEUSDT @ $0.2765: Sell $85,718"
