event,horizon,n_events,mean_fwd_ret,median_fwd_ret,hit_rate_pos,threshold_usd,quantile
BASELINE_ALL,1,4795,7.604643162414708e-05,2.826076045410746e-05,0.5038581856100104,,0.9
BASELINE_ALL,3,4793,0.00022936564988796797,0.00014443467068393315,0.5149175881493845,,0.9
BASELINE_ALL,6,4790,0.0004584674153016861,0.0002768090916217778,0.5196242171189979,,0.9
BASELINE_ALL,12,4784,0.0008601419472543926,0.0006234794324394316,0.532190635451505,,0.9
BASELINE_ALL,24,4772,0.0016584557335183633,0.001047660185344512,0.5322715842414082,,0.9
LONG_SPIKE,1,179,-0.0061988062390468815,-0.005551282009919426,0.18994413407821228,2119996.6000000006,0.9
LONG_SPIKE,3,179,-0.0044889958823259475,-0.004129589454434241,0.2849162011173184,2119996.6000000006,0.9
LONG_SPIKE,6,179,-0.004273681837671317,-0.004625201233069095,0.329608938547486,2119996.6000000006,0.9
LONG_SPIKE,12,179,-0.004169078148524856,-0.004522023267546175,0.37988826815642457,2119996.6000000006,0.9
LONG_SPIKE,24,176,-0.003247127807148765,-0.004157178165714455,0.3977272727272727,2119996.6000000006,0.9
SHORT_SPIKE,1,209,0.005953882204299538,0.004967142807243676,0.84688995215311,1429833.2000000002,0.9
SHORT_SPIKE,3,209,0.005760186399926135,0.004842183000695091,0.722488038277512,1429833.2000000002,0.9
SHORT_SPIKE,6,209,0.006847008859806639,0.005282488894252214,0.7177033492822966,1429833.2000000002,0.9
SHORT_SPIKE,12,209,0.007290739698974857,0.005019539218909393,0.6555023923444976,1429833.2000000002,0.9
SHORT_SPIKE,24,209,0.008050064034225805,0.004837415284772756,0.6028708133971292,1429833.2000000002,0.9
