event,horizon,n_events,mean_fwd_ret,median_fwd_ret,hit_rate_pos,threshold_usd,quantile
BASELINE_ALL,1,4795,7.604643162414708e-05,2.826076045410746e-05,0.5038581856100104,,0.95
BASELINE_ALL,3,4793,0.00022936564988796797,0.00014443467068393315,0.5149175881493845,,0.95
BASELINE_ALL,6,4790,0.0004584674153016861,0.0002768090916217778,0.5196242171189979,,0.95
BASELINE_ALL,12,4784,0.0008601419472543926,0.0006234794324394316,0.532190635451505,,0.95
BASELINE_ALL,24,4772,0.0016584557335183633,0.001047660185344512,0.5322715842414082,,0.95
LONG_SPIKE,1,90,-0.00805399908166152,-0.006374100741943614,0.15555555555555556,3304318.7999999993,0.95
LONG_SPIKE,3,90,-0.0056602536833517125,-0.005220858729616952,0.2777777777777778,3304318.7999999993,0.95
LONG_SPIKE,6,90,-0.00518200651708568,-0.004471124534443625,0.34444444444444444,3304318.7999999993,0.95
LONG_SPIKE,12,90,-0.004415111052030347,-0.004313346092113958,0.4111111111111111,3304318.7999999993,0.95
LONG_SPIKE,24,89,-0.003598555199321033,-0.005038301218815333,0.39325842696629215,3304318.7999999993,0.95
SHORT_SPIKE,1,105,0.007310944809208274,0.006101756983249669,0.8952380952380953,2310861.999999998,0.95
SHORT_SPIKE,3,105,0.006792864793588261,0.005378564826962982,0.7428571428571429,2310861.999999998,0.95
SHORT_SPIKE,6,105,0.007076175075834318,0.00514589011072787,0.6952380952380952,2310861.999999998,0.95
SHORT_SPIKE,12,105,0.008546749783701941,0.006066098113386409,0.6761904761904762,2310861.999999998,0.95
SHORT_SPIKE,24,105,0.009442102161356089,0.008836829087781889,0.6571428571428571,2310861.999999998,0.95
